calendar_age, ci_lower, mean, ci_upper
9.7693680000e+03, 3.3208295185e-05, 1.0618427790e-04, 2.2248680017e-04
9.7788720000e+03, 3.2984132903e-05, 1.0284853042e-04, 2.1026408417e-04
9.7883760000e+03, 3.2405574207e-05, 1.0038071183e-04, 1.9842093402e-04
9.7978800000e+03, 3.3070227136e-05, 9.8674561444e-05, 1.9061346904e-04
9.8073840000e+03, 3.3295673596e-05, 9.7637585251e-05, 1.8405379568e-04
9.8168880000e+03, 3.2966921888e-05, 9.7189593795e-05, 1.7809949469e-04
9.8263920000e+03, 3.3585493076e-05, 9.7261313755e-05, 1.7570747110e-04
9.8358960000e+03, 3.3349689217e-05, 9.7793094958e-05, 1.7567402634e-04
9.8454000000e+03, 3.4111974590e-05, 9.8733725066e-05, 1.7496042899e-04
9.8549040000e+03, 3.4653978686e-05, 1.0003935694e-04, 1.7579376062e-04
9.8644080000e+03, 3.5141462613e-05, 1.0167254512e-04, 1.7772379725e-04
9.8739120000e+03, 3.5586081818e-05, 1.0360137959e-04, 1.8038439064e-04
9.8834160000e+03, 3.5993165044e-05, 1.0579870140e-04, 1.8313148677e-04
9.8929200000e+03, 3.6604745505e-05, 1.0824138819e-04, 1.8577790195e-04
9.9024240000e+03, 3.7167741712e-05, 1.1090970691e-04, 1.8957021801e-04
9.9119280000e+03, 3.8437199980e-05, 1.1378674098e-04, 1.9362485433e-04
9.9214320000e+03, 3.9423461704e-05, 1.1685790567e-04, 1.9755416098e-04
9.9309360000e+03, 4.0752588998e-05, 1.2011056455e-04, 2.0113912706e-04
9.9404400000e+03, 4.1656438127e-05, 1.2353375312e-04, 2.0448149998e-04
9.9499440000e+03, 4.2168674166e-05, 1.2711800337e-04, 2.0962808215e-04
9.9594480000e+03, 4.2743978564e-05, 1.3085524995e-04, 2.1345589204e-04
9.9689520000e+03, 4.3598080792e-05, 1.3473878920e-04, 2.1716477395e-04
9.9784560000e+03, 4.4543917313e-05, 1.3876326107e-04, 2.2099129101e-04
9.9879600000e+03, 4.5008993692e-05, 1.4292463188e-04, 2.2508164548e-04
9.9974640000e+03, 4.5424722590e-05, 1.4722016898e-04, 2.2883568833e-04
1.0006968000e+04, 4.6593674050e-05, 1.5164841164e-04, 2.3292257334e-04
1.0016472000e+04, 4.7356250471e-05, 1.5620914951e-04, 2.3710751974e-04
1.0025976000e+04, 4.9444745267e-05, 1.6090341883e-04, 2.4147687130e-04
1.0035480000e+04, 5.1654246250e-05, 1.6573351920e-04, 2.4612284239e-04
1.0044984000e+04, 5.5762910000e-05, 1.7070304171e-04, 2.5139308448e-04
1.0054488000e+04, 5.8572870643e-05, 1.7581688475e-04, 2.5593721936e-04
1.0063992000e+04, 6.3821707994e-05, 1.8108121741e-04, 2.6039643258e-04
1.0073496000e+04, 6.9991126499e-05, 1.8650333108e-04, 2.6470638256e-04
1.0083000000e+04, 8.1379492450e-05, 1.9209129911e-04, 2.7074573292e-04
1.0092504000e+04, 9.0258150435e-05, 1.9785334619e-04, 2.7700735057e-04
1.0102008000e+04, 1.0172317327e-04, 2.0379681766e-04, 2.8417961061e-04
1.0111512000e+04, 1.1528516093e-04, 2.0992664465e-04, 2.9420934977e-04
1.0121016000e+04, 1.2726515094e-04, 2.1624323111e-04, 3.0442556606e-04
1.0130520000e+04, 1.3905965814e-04, 2.2273975123e-04, 3.1730706826e-04
1.0140024000e+04, 1.4754029934e-04, 2.2939894218e-04, 3.3240595085e-04
1.0149528000e+04, 1.5718613932e-04, 2.3618960055e-04, 3.5124899341e-04
